Rosenbergite,True,
Rosickýite,True,
Routhierite,True,
Rozenite,True,
Rubicline,True,
Ruizite,True,
Russellite,True,
Ruthenium,True,
Rutherfordine,True,
Rutile,True,
Rynersonite,True,
Rashleighite,False,(variety of turquoise)
Rhodolite,False,(variety of pyrope)
Rock crystal,False,(quartz)
Rose quartz,False,(pink variety of quartz)
Roumanite,False,(amber)
Ruby,False,(red gem corundum)
Sabatierite,True,
Sabieite,True,
Sabinaite,True,
Sacrofanite,True,
Safflorite,True,
Sal ammoniac,True,
Saleeite,True,
Saliotite,True,
Salzburgite,True,
Samarskite-(Y),True,
Sampleite,True,
Samsonite,True,
Samuelsonite,True,
Sanbornite,True,
Saneroite,True,
Sanidine (orthoclase variety),True,
Santabarbaraite,True,
Santite,True,
Saponite (clay mineral),True,
Sapphirine,True,
Sarabauite,True,
Sarkinite,True,
Sassolite,True,
Satterlyite,True,
Sauconite,True,
Sborgite,True,
Scapolite (a group of silicate minerals),True,
Schäferite,True,
Scheelite,True,
Schmiederite,True,
Schoepite,True,
Schorl (black tourmaline),True,
Schreibersite,True,
Schreyerite,True,
Schröckingerite,True,
Schwertmannite,True,
Scolecite,True,
Scorodite,True,
Scorzalite,True,
Scrutinyite,True,
Seamanite,True,
Searlesite,True,
Seeligerite,True,
Segelerite,True,
Seifertite,True,
Sekaninaite,True,
Selenium,True,
Seligmannite,True,
Sellaite,True,
Semseyite,True,
Senarmontite,True,
Sepiolite,True,
Sérandite,True,
Serendibite,True,
Serpentine group,True,
Serpierite,True,
Sewardite,True,
Shandite,True,
Shattuckite,True,
Shigaite,True,
Shortite,True,
Siderite,True,
Siderophyllite,True,
Siderotil,True,
Siegenite,True,
Silicate perovskite,True,
Silicon,True,
Sillimanite,True,
Silver,True,
Simonellite,True,
Simpsonite,True,
Sincosite,True,
Sinkankasite,True,
Sinoite,True,
Skaergaardite,True,
Sklodowskite,True,
Skutterudite,True,
Smaltite,True,
Smectite (a group of clay minerals),True,
Smithsonite,True,
Sodalite,True,
Soddyite,True,
Sonolite,True,
Sperrylite,True,
Spertiniite,True,
Spessartine,True,
Sphalerite,True,
Spherocobaltite,True,
Spinel,True,
Spodumene,True,
Spurrite,True,
Stannite,True,
Stannoidite,True,
Staurolite,True,
Steacyite,True,
Stellerite,True,
Stephanite,True,
Stercorite,True,
Stibarsen,True,
Stibiconite,True,
Stibiopalladinite,True,
Stibnite,True,
Stichtite,True,
Stilbite (series of zeolites),True,
Stilleite,True,
Stillwaterite,True,
Stillwellite-(Ce),True,
Stilpnomelane,True,
Stishovite,True,
Stolzite,True,
Strashimirite,True,
Strengite,True,
Stromeyerite,True,
Strontianite,True,
Struvite,True,
Studenitsite,True,
Studtite,True,
Sturmanite,True,
Stützite,True,
Suanite,True,
Suessite,True,
Sugilite,True,
Sulfur,True,
Sursassite,True,
Susannite,True,
Sussexite,True,
Svanbergite,True,
Sweetite,True,
Switzerite,True,
Sylvanite,True,
Sylvite,True,
Synchysite-(Ce),True,
Syngenite,True,
Sapphire,False,(gem corundum of any color except red,especially blue varieties)
Sard,False,(a variety of chalcedony/quartz)
Satinspar,False,(a variety of gypsum)
Selenite,False,(a variety of gypsum)
Shungite,False,(a lustrous black mineraloid)
Simetite,False,(a variety of amber)
Smoky quartz,False,(a brown or black variety of quartz)
Soda niter,False,(synonym of nitratine)
Spectrolite,False,(a variety of labradorite)
