,71.9424460432,7.09,F0          ,0.303
,217.8649237473,8.54,A7V         ,0.23
,157.2327044025,8.44,F0          ,0.456
,-1,8.59,B0Ibp       ,0.36
,94.1619585687,8.01,F3/F5V      ,0.406
,179.2114695341,8.29,G0          ,0.54
,182.4817518248,7.26,F0          ,0.355
,180.8318264014,7.91,F0III/IV    ,0.314
,833.3333333333,8.19,O8e         ,0.26
,101.2145748988,8.93,G2/G3V      ,0.607
,254.4529262087,7.65,G8IV        ,0.992
,122.2493887531,8.53,F5          ,0.491
,162.6016260163,7.38,K0          ,1.003
,69.0607734807,8.56,F8          ,0.615
,1219.512195122,8.76,M0          ,1.692
,235.8490566038,7.09,B8V         ,-0.085
 ,1123.595505618,5.9,A1III       ,0.274
,151.9756838906,8.41,F6V         ,0.563
,14285.7142857143,8.79,B0          ,0.08
,179.5332136445,8.88,A0          ,0.253
,680.2721088435,7.59,K5          ,1.68
,242.7184466019,8.55,A1V         ,0.037
,67.0690811536,8.11,F6V         ,0.484
 ,88.573959256,5.78,K0III       ,1.084
 ,129.0322580645,6.38,A1V         ,0.006
,189.7533206831,8.8,K1III       ,1.031
,406.5040650407,7.79,B3V         ,-0.089
,59.5592614652,8.6,G5          ,0.64
,243.9024390244,7.77,B8/B9V      ,-0.058
,47.3036896878,10.37, ,1.1
,44.404973357,9.8,K0V         ,0.855
 ,492.6108374384,4.99,K3Ibvar     ,1.619
,101.1122345804,8.43,G0          ,0.611
 ,91.5750915751,7.33,F2V         ,0.444
,1052.6315789474,8.93,G8III       ,1.025
,294.1176470588,8.73,K0III       ,1.036
,465.1162790698,8.12,C5II        ,2.53
,628.9308176101,8.94,K1IV        ,1.181
 ,515.4639175258,6.11,B9III       ,0.159
,207.0393374741,7.9,K2          ,1.249
,406.5040650407,7.13,K1III       ,1.26
,240.9638554217,7.46,K0/K1III    ,1.072
,719.4244604317,8.72,K2          ,1.508
,163.132137031,7.02,K0          ,1.1
,247.5247524752,8.37,K0          ,0.881
 ,175.4385964912,5.59,B8III       ,-0.1
,87.260034904,7.37,F5IV        ,0.422
 ,97.0873786408,5.68,K1III       ,1.051
,136.0544217687,8.56,G5          ,0.792
,406.5040650407,8.72,A2          ,-0.014
,245.0980392157,8.82,F0          ,0.433
,171.2328767123,8.18,A5          ,0.376
,621.1180124224,8.46,F2          ,0.556
,176.9911504425,8.28,A0IV        ,0.002
,143.8848920863,8.18,G0          ,0.43
,95.5109837631,7.93,F5          ,0.478
 ,36.7917586461,6.09,G2V         ,0.632
,317.4603174603,8.31,A0IV/V      ,0.036
,343.6426116838,7.83,K2III       ,1.256
,268.0965147453,8.72,A0          ,0.082
,469.4835680751,6.61,B3V         ,0.025
 ,187.265917603,6.25,K4IIIb      ,1.368
 ,25.6016385049,7.82,G9V         ,0.755
,286.5329512894,8.66,K5          ,1.614
,166.1129568106,8.15,F5          ,0.475
,86.5051903114,8.97,G3V         ,0.674
,645.1612903226,8.15,K2          ,1.201
,68.8231245699,7.47,F8V         ,0.55
,598.8023952096,8.63,M0          ,1.57
,45.2693526483,8.13,G5V         ,0.71
,226.7573696145,8.23,G9III       ,0.986
,117.7856301531,8.41,F5V         ,0.461
,131.0615989515,6.47,G8II        ,0.946
,161.5508885299,8.64,F5          ,1.3
,50.5561172902,7.73,G0V         ,0.537
,510.2040816327,8.64,G6III       ,0.889
,119.3317422434,8.94,F2          ,0.415
